2026-04-29 13:22:38 | INFO    | apscheduler.schedulers.base | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-29 13:22:38 | INFO    | apscheduler.schedulers.base | Added job "PollingController.scheduled_scan" to job store "default"
2026-04-29 13:22:38 | INFO    | apscheduler.schedulers.base | Scheduler started
2026-04-29 13:25:18 | INFO    | apscheduler.schedulers.base | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-29 13:25:18 | INFO    | apscheduler.schedulers.base | Added job "PollingController.scheduled_scan" to job store "default"
2026-04-29 13:25:18 | INFO    | apscheduler.schedulers.base | Scheduler started
2026-04-29 13:34:35 | INFO    | apscheduler.schedulers.base | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-29 13:34:35 | INFO    | apscheduler.schedulers.base | Added job "PollingController.scheduled_scan" to job store "default"
2026-04-29 13:34:35 | INFO    | apscheduler.schedulers.base | Scheduler started
2026-04-29 13:39:35 | INFO    | apscheduler.executors.base | Running job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 05:44:35 UTC)" (scheduled at 2026-04-29 05:39:35.183266+00:00)
2026-04-29 13:39:35 | INFO    | apscheduler.executors.base | Job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 05:44:35 UTC)" executed successfully
2026-04-29 13:44:35 | INFO    | apscheduler.executors.base | Running job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 05:49:35 UTC)" (scheduled at 2026-04-29 05:44:35.183266+00:00)
2026-04-29 13:44:35 | INFO    | apscheduler.executors.base | Job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 05:49:35 UTC)" executed successfully
2026-04-29 13:50:23 | INFO    | apscheduler.schedulers.base | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-29 13:50:23 | INFO    | apscheduler.schedulers.base | Added job "PollingController.scheduled_scan" to job store "default"
2026-04-29 13:50:23 | INFO    | apscheduler.schedulers.base | Scheduler started
2026-04-29 13:55:23 | INFO    | apscheduler.executors.base | Running job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 06:00:23 UTC)" (scheduled at 2026-04-29 05:55:23.608112+00:00)
2026-04-29 13:55:23 | INFO    | scheduler.scheduler | 信号检测完成: 生成 10 条预警
2026-04-29 13:55:23 | INFO    | apscheduler.executors.base | Job "PollingController.scheduled_scan (trigger: interval[0:05:00], next run at: 2026-04-29 06:00:23 UTC)" executed successfully
2026-04-29 14:00:26 | INFO    | apscheduler.schedulers.base | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-29 14:00:26 | INFO    | apscheduler.schedulers.base | Added job "PollingController.scheduled_scan" to job store "default"
2026-04-29 14:00:26 | INFO    | apscheduler.schedulers.base | Scheduler started
2026-04-29 14:00:27 | INFO    | scheduler.scheduler | 信号检测完成: 生成 10 条预警
2026-04-29 14:00:28 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:28 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - AlphaXTrader
2026-04-29 14:00:29 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:29 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - BetaMomentum
2026-04-29 14:00:31 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:31 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: volume_spike - BetaMomentum
2026-04-29 14:00:33 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:33 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - EtaVolMaster
2026-04-29 14:00:34 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:34 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - LambdaSurge
2026-04-29 14:00:35 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:35 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: dump - MuDump
2026-04-29 14:00:36 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:36 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - NuRocket
2026-04-29 14:00:37 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:37 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: dump - XiPlunge
2026-04-29 14:00:39 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:39 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: surge - OmicronRise
2026-04-29 14:00:40 | INFO    | httpx._client | HTTP Request: POST https://open.feishu.cn/open-apis/bot/v2/hook/86c421f8-950c-4574-bae3-6f6ef20cd9e9 "HTTP/1.1 200 OK"
2026-04-29 14:00:40 | INFO    | notifiers.feishu_notifier | 飞书通知发送成功: dump - DegenAgent50
2026-04-29 14:00:40 | INFO    | scheduler.scheduler | 飞书通知: 成功 10 / 总数 10
